sport_type,knee_flexion,hip_angle,elbow_angle,shoulder_rotation,trunk_lean,knee_valgus_angle,symmetry,flag_knee_hyperext,flag_knee_valgus,flag_trunk_lean,flag_low_symmetry,risk_level
TENNIS,78.87,103.49,170.58,90.9,0.54,170.23,0.9492,0,0,0,0,0
RUGBY,113.67,93.09,122.61,46.68,37.59,162.02,0.6423,1,0,1,1,2
TRACK,107.85,68.8,132.48,39.91,40.66,151.66,0.5223,0,1,1,0,2
AMERICAN_FOOTBALL,169.47,174.78,153.58,20.92,37.57,181.83,0.7189,0,0,0,0,0
GYMNASTICS,112.52,91.8,119.81,89.85,20.55,177.84,0.8981,0,0,0,0,0
BASEBALL,35.77,85.88,121.27,49.37,81.94,136.11,0.377,1,1,1,0,3
SWIMMING,87.54,137.63,103.49,29.74,2.13,174.93,0.8049,0,0,0,0,0
TENNIS,84.64,98.84,140.66,71.92,43.46,162.43,0.7528,0,1,0,0,1
VOLLEYBALL,112.27,111.46,129.77,42.88,18.41,164.86,0.7382,0,0,0,0,0
SWIMMING,126.97,99.74,84.58,118.66,57.81,146.4,0.4911,1,1,0,0,2
VOLLEYBALL,26.86,67.3,98.37,36.88,40.84,151.29,0.1198,1,1,1,1,3
BASEBALL,150.11,164.35,143.07,58.31,39.43,168.23,0.5802,0,0,0,1,1
AMERICAN_FOOTBALL,142.81,134.6,112.44,87.68,33.82,170.89,0.9676,0,0,0,0,0
TRACK,94.42,100.31,159.7,117.97,10.89,166.79,0.6372,1,0,1,0,1
RUGBY,39.08,107.74,109.78,74.38,55.64,128.68,0.1914,1,1,1,1,3
GYMNASTICS,71.91,126.16,120.39,20.14,12.54,160.5,0.6509,0,1,0,0,1
OTHER,87.23,84.19,106.6,103.07,46.15,153.79,0.5356,1,0,1,1,2
RUGBY,85.99,46.73,102.63,116.89,52.2,146.82,0.2264,1,1,0,1,3
GYMNASTICS,75.03,148.81,117.54,44.28,36.95,161.72,0.749,1,0,0,0,1
SOCCER,125.43,143.13,155.9,98.95,57.71,164.09,0.664,0,1,1,1,2
BADMINTON,112.17,158.06,102.01,41.39,36.24,155.64,0.5868,1,0,0,1,1
SOCCER,104.24,142.26,97.31,69.2,47.38,149.36,0.6495,1,1,1,0,2
SOCCER,101.2,94.68,161.48,35.2,11.24,159.64,0.7092,1,1,0,0,1
BOXING,162.35,106.98,128.82,32.41,10.58,170.22,0.9953,0,0,0,0,0
VOLLEYBALL,101.01,92.55,116.82,116.84,42.33,155.57,0.6242,1,1,1,0,2
OTHER,25.94,39.57,88.74,116.41,54.81,124.68,0.1844,1,1,1,1,3
SWIMMING,71.54,111.41,147.91,109.0,29.76,156.72,0.6056,1,0,1,0,1
BASKETBALL,155.64,141.4,165.89,27.89,9.64,170.35,0.9846,0,0,0,0,0
GYMNASTICS,68.03,108.54,103.05,40.9,60.69,150.86,0.2519,1,1,1,1,3
BASEBALL,127.56,167.38,161.2,51.94,2.51,169.17,0.7121,0,0,0,0,0
CRICKET,72.38,39.5,84.0,153.63,68.52,143.98,0.5022,1,1,1,1,3
BASKETBALL,127.14,161.91,124.18,66.87,28.73,171.77,0.7066,0,0,0,0,0
SWIMMING,69.04,98.19,108.92,40.46,67.31,135.35,0.251,1,1,1,1,3
TENNIS,100.53,152.68,99.45,60.17,23.45,166.77,0.7819,0,0,1,1,1
BASKETBALL,93.28,36.94,131.57,156.05,55.49,133.98,0.4253,1,1,1,1,3
BADMINTON,136.35,116.04,81.12,23.27,32.82,150.17,0.6557,1,1,0,0,2
TRACK,70.98,116.72,104.21,122.12,45.81,158.79,0.6692,1,1,0,1,2
RUGBY,71.13,164.78,143.01,48.99,20.81,167.26,0.6347,0,0,0,1,1
CYCLING,126.51,105.66,126.17,50.37,37.54,159.46,0.6939,0,1,0,0,1
AMERICAN_FOOTBALL,91.33,122.87,104.95,97.06,17.36,170.19,0.9404,0,0,0,0,0
AMERICAN_FOOTBALL,66.6,94.47,91.8,54.3,65.56,151.44,0.1604,1,1,1,1,3
GYMNASTICS,117.72,142.65,129.7,52.27,21.81,161.34,0.7726,0,0,1,0,1
BASEBALL,73.18,101.55,154.81,32.55,56.9,140.36,0.2453,1,1,1,1,3
OTHER,71.11,94.52,131.31,76.97,59.81,135.73,0.2646,1,1,0,1,3
SOCCER,101.32,74.51,128.77,84.44,42.0,153.2,0.4526,1,0,0,1,2
TENNIS,104.28,132.06,114.4,95.17,3.04,166.09,0.9756,0,0,0,0,0
GYMNASTICS,144.91,84.22,138.74,48.95,62.34,161.86,0.4542,1,1,1,0,2
BADMINTON,140.95,123.48,157.64,91.18,23.1,164.27,0.7063,0,0,0,0,0
CYCLING,93.53,104.76,111.98,53.03,53.98,140.46,0.3743,1,1,1,1,3
AMERICAN_FOOTBALL,100.89,93.55,102.59,29.66,32.01,173.29,0.7658,0,0,0,0,0
WRESTLING,109.69,106.81,132.21,119.32,41.88,164.99,0.4943,1,0,1,1,2
OTHER,165.5,91.23,113.5,81.68,29.93,177.71,0.9002,0,0,1,0,0
SWIMMING,84.45,144.48,112.26,49.76,12.2,165.11,0.8144,0,0,1,0,1
AMERICAN_FOOTBALL,130.07,100.59,106.55,102.7,46.67,155.89,0.4872,1,1,1,0,2
TENNIS,93.31,107.0,136.26,33.36,15.9,164.16,0.754,0,0,0,0,0
SOCCER,139.54,145.75,122.0,43.26,24.23,178.97,0.8898,0,0,0,0,0
BASKETBALL,60.99,42.76,82.55,80.31,46.01,120.25,0.135,1,1,1,0,3
GYMNASTICS,70.86,35.3,148.7,158.73,73.58,140.92,0.2529,1,1,0,1,3
AMERICAN_FOOTBALL,154.27,139.16,88.93,42.16,36.19,156.89,0.6216,0,0,1,0,1
GYMNASTICS,133.7,70.23,120.29,82.14,55.98,148.35,0.6441,1,1,0,1,2
